Vertex,Edge,Dijkstra,DijkstraPriority
77,2313,0.004224489,0.002687911
109,679,0.007640357,0.001078978
21,206,1.54978E-4,1.78444E-4
64,972,4.00889E-4,7.94934E-4
24,275,3.9112E-5,1.91644E-4
72,1438,6.40445E-4,7.29422E-4
57,717,5.13823E-4,4.45866E-4
105,980,0.001867067,6.93245E-4
15,103,2.8845E-5,1.20756E-4
27,257,5.72E-5,2.16089E-4
75,1596,3.74E-4,8.72666E-4
93,3428,4.72267E-4,0.001280889
52,413,3.696E-4,2.69378E-4
37,367,7.3822E-5,2.21956E-4
11,29,2.1022E-5,1.232E-4
98,900,3.10444E-4,6.15023E-4
42,533,5.9156E-5,3.05555E-4
107,2895,2.86E-4,0.001342489
46,791,4.2045E-5,3.07022E-4
108,3939,2.48844E-4,7.11333E-4
65,432,1.47155E-4,2.19511E-4
25,202,2.2E-5,9.9734E-5
79,2174,1.1E-4,3.64222E-4
87,1280,2.27823E-4,3.09955E-4
82,1067,1.82356E-4,2.42978E-4
