Vertex,Edge,Dijkstra,DijkstraPriority
23,151,0.001097067,0.001427067
35,254,5.09911E-4,7.09867E-4
102,3668,0.002556889,0.001899822
43,801,4.02844E-4,4.10178E-4
52,966,6.10134E-4,5.27511E-4
14,80,5.8667E-5,1.31511E-4
67,871,8.33556E-4,7.7E-4
102,2096,0.0018612,0.001513111
14,66,5.2311E-5,1.20756E-4
52,1314,4.42445E-4,4.312E-4
44,208,3.46133E-4,2.98711E-4
36,440,2.58134E-4,2.45422E-4
22,196,1.41778E-4,1.55955E-4
66,361,6.00356E-4,9.69467E-4
82,1134,4.94755E-4,0.001073111
71,1132,3.06045E-4,8.52134E-4
103,1402,6.07689E-4,0.001549778
88,1300,4.21911E-4,5.00622E-4
33,563,5.6222E-5,1.92134E-4
62,1806,1.90667E-4,2.25867E-4
67,1566,3.20222E-4,2.45911E-4
65,842,2.35155E-4,3.33422E-4
42,123,4.42444E-4,1.59867E-4
71,1408,4.00889E-4,3.04578E-4
108,4288,1.79423E-4,5.62711E-4
52,1219,3.6667E-5,1.628E-4
101,4857,1.30533E-4,4.76177E-4
76,627,6.7955E-5,4.796E-4
13,90,1.9067E-5,7.1378E-5
92,252,1.00223E-4,5.40223E-4
10,32,1.3689E-5,5.1822E-5
104,3318,1.32E-4,5.82266E-4
91,1431,1.18311E-4,1.72578E-4
20,156,1.5156E-5,5.2311E-5
96,4346,1.25645E-4,1.56444E-4
83,3297,9.0445E-5,1.13911E-4
108,4433,1.46667E-4,1.892E-4
82,2997,8.8E-5,1.24178E-4
102,3887,1.63289E-4,1.41289E-4
57,705,6.3556E-5,9.2889E-5
108,1646,1.408E-4,1.65734E-4
75,2051,9.8267E-5,1.04622E-4
34,433,3.6178E-5,6.8933E-5
80,582,1.07066E-4,1.22222E-4
105,4880,1.52045E-4,1.75023E-4
89,3900,1.07555E-4,1.31511E-4
71,1361,9.7778E-5,1.16356E-4
63,1520,6.2089E-5,1.00711E-4
58,1206,8.1156E-5,9.0933E-5
74,2274,6.9911E-5,1.07067E-4
93,3474,1.16845E-4,1.19289E-4
30,62,3.1778E-5,5.0845E-5
69,1860,7.7244E-5,1.03644E-4
39,296,4.3023E-5,7.6267E-5
79,1703,8.5556E-5,1.42267E-4
37,493,3.08E-5,6.8933E-5
13,84,1.8578E-5,4.0577E-5
62,1046,5.72E-5,1.02667E-4
33,97,3.1289E-5,6.5022E-5
60,289,6.3066E-5,8.7511E-5
18,141,1.7111E-5,5.2311E-5
70,503,7.4311E-5,9.0444E-5
10,38,1.8089E-5,4.2534E-5
22,52,2.4933E-5,5.0845E-5
22,166,2.2489E-5,4.9867E-5
41,380,3.9111E-5,6.7467E-5
79,876,8.8E-5,1.09511E-4
48,297,4.2533E-5,6.0134E-5
32,406,2.8844E-5,6.4045E-5
50,556,3.4711E-5,6.3556E-5
32,141,2.7867E-5,8.9955E-5
83,3328,9.8756E-5,1.15866E-4
109,3090,1.39333E-4,1.79422E-4
41,347,2.8844E-5,8.1156E-5
10,32,1.76E-5,3.96E-5
44,507,4.4E-5,2.23911E-4
53,881,4.1067E-5,7.92E-5
50,387,4.1555E-5,6.9911E-5
35,450,3.2267E-5,5.8666E-5
24,117,2.1022E-5,4.4489E-5
49,255,3.3734E-5,6.16E-5
64,1120,5.9645E-5,8.2134E-5
48,881,4.4E-5,5.9644E-5
47,413,4.5466E-5,8.2623E-5
84,2016,9.5333E-5,1.15378E-4
14,76,1.76E-5,4.7911E-5
57,1314,4.5956E-5,1.06089E-4
98,2132,1.31022E-4,1.49111E-4
54,1466,4.4489E-5,7.8223E-5
95,3848,1.02178E-4,1.232E-4
108,795,1.39822E-4,1.46667E-4
23,73,2.5422E-5,4.3511E-5
77,1722,8.4089E-5,9.3378E-5
16,91,2.4933E-5,5.1333E-5
45,291,4.1067E-5,6.2089E-5
89,2772,1.03155E-4,1.29067E-4
83,1253,8.9955E-5,1.232E-4
36,260,3.0311E-5,6.4533E-5
12,40,2.1022E-5,3.3244E-5
45,815,2.8845E-5,6.4045E-5
