Vertex,Edge,Visits,Greedy,GreedyBacktracking,B&B1,B&B2,B&B3
10000,400,10,59943.8440767888,56248.47649161683,56248.476491616784,56248.476491616784,56248.47649161683
10000,600,10,59163.02833676699,59163.02833676697,59163.02833676699,59163.02833676699,59163.02833676697
10000,800,10,80604.40220442702,76700.13187792155,76700.13187792155,76700.13187792155,76700.13187792155
10000,1000,10,73922.02348312961,70275.65596359911,70275.6559635991,70275.6559635991,70275.65596359911
10000,1200,10,72366.05481496442,67653.5928796141,67653.59287961405,67653.59287961407,67653.59287961411
10000,1400,10,67940.54303301022,67213.16692672136,67213.16692672131,67213.16692672131,67213.16692672133
10000,1600,10,58367.895942596486,57195.99662951529,57195.996629515306,57195.996629515306,57195.99662951529
10000,1800,10,67841.2800754876,60611.05460338137,60611.05460338137,60611.05460338139,60611.054603381395
10000,2000,10,55904.417323694055,53881.99786186907,53881.99786186909,53881.99786186909,53881.997861869095
10000,2200,10,76403.64434220485,72916.98656318554,72916.98656318554,72916.98656318555,72916.98656318556
10000,2400,10,64794.136814064164,64794.13681406417,64794.136814064135,64794.13681406413,64794.13681406413
10000,2600,10,77592.02424795821,75731.55674825345,75731.55674825345,75731.55674825345,75731.55674825342
10000,2800,10,69565.60051768778,68656.57686563024,68656.57686563025,68656.57686563025,68656.57686563028
10000,3000,10,59244.882319493925,57302.87235578599,57302.87235578601,57302.87235578599,57302.87235578601
10000,3200,10,58648.35417244753,56882.714681382364,56882.71468138235,56882.71468138234,56882.71468138235
10000,3400,10,60901.13097754603,60901.13097754603,60901.13097754604,60901.13097754603,60901.13097754603
10000,3600,10,54752.18932777878,0.0,54752.1893277788,54752.189327778804,54752.18932777878
10000,3800,10,58425.90848860614,55696.088773024785,55696.08877302477,55696.08877302479,55696.088773024785
10000,4000,10,83620.4858455907,77672.81274018901,77672.81274018901,77672.812740189,77672.81274018901
10000,4200,10,59290.99303513665,56602.01645739836,56602.01645739836,56602.01645739836,56602.01645739836
10000,4400,10,80727.40593832984,75366.1385567781,75366.13855677808,75366.13855677807,75366.13855677813
10000,4600,10,73270.07713314815,73270.07713314815,73270.07713314815,73270.07713314818,73270.07713314815
10000,4800,10,79342.04024997221,79111.17232235987,79111.17232235991,79111.1723223599,79111.17232235993
10000,5000,10,70179.25941453688,68945.34754211908,68945.34754211915,68945.34754211915,68945.34754211908
10000,5200,10,62477.49928803013,62230.16954861329,62230.16954861329,62230.16954861329,62230.16954861329
10000,5400,10,76085.06725128478,70459.4585706206,70459.4585706206,70459.45857062061,70459.4585706206
10000,5600,10,73943.44478487346,68319.3879861042,68319.3879861042,68319.3879861042,68319.3879861042
10000,5800,10,72185.39083094551,71547.26858560373,71547.26858560373,71547.26858560374,71547.26858560373
10000,6000,10,72113.89967764886,66828.23708755783,66828.23708755783,66828.23708755783,66828.23708755783
10000,6200,10,63672.564522658315,61035.15497256338,61035.154972563396,61035.15497256338,61035.154972563396
10000,6400,10,64562.90263475223,63206.09461590799,63206.09461590799,63206.09461590799,63206.09461590799
10000,6600,10,64136.51479255325,59343.01380447486,59343.01380447486,59343.01380447486,59343.01380447486
10000,6800,10,80204.08173396,74056.81784763873,74056.8178476387,74056.8178476387,74056.81784763873
10000,7000,10,68871.66556466909,64658.581016862096,64658.58101686208,64658.58101686208,64658.581016862096
10000,7200,10,57218.454241497326,56314.32814409714,56314.32814409714,56314.32814409714,56314.328144097155
10000,7400,10,62436.6518071666,56308.05341112981,56308.05341112981,56308.05341112981,56308.05341112981
10000,7600,10,78687.59641204665,72953.09425524012,72953.09425524011,72953.09425524011,72953.09425524012
10000,7800,10,51511.068580613886,48146.66792463681,48146.667924636815,48146.667924636815,48146.6679246368
10000,8000,10,70421.97194205577,67410.5784898423,67410.5784898423,67410.5784898423,67410.5784898423
10000,8200,10,66436.40554495953,65991.44262515608,65991.44262515608,65991.44262515608,65991.4426251561
10000,8400,10,66458.43192266847,0.0,66458.43192266849,66458.43192266847,66458.43192266847
10000,8600,10,67631.230975354,64603.14028191366,64603.14028191364,64603.14028191364,64603.14028191364
10000,8800,10,62614.52890779038,59877.93522328543,59877.93522328541,59877.93522328541,59877.935223285414
10000,9000,10,57432.666853904026,55575.85936779865,55575.85936779865,55575.859367798665,55575.85936779865
10000,9200,10,59909.47587333715,57287.72911944312,57287.72911944312,57287.72911944311,57287.72911944311
10000,9400,10,63058.59209142368,57164.153485040035,57164.153485040035,57164.153485040035,57164.153485040035
10000,9600,10,62467.32548406746,60972.428049972514,60972.42804997252,60972.428049972514,60972.428049972514
10000,9800,10,60347.2424028577,56661.38480221423,56661.38480221423,56661.38480221423,56661.38480221422
10000,10000,10,58250.71006553967,55974.2268569452,55974.22685694522,55974.226856945235,55974.22685694522
10000,10200,10,51829.48577131365,47502.261815227845,47502.261815227845,47502.261815227845,47502.261815227845
