Vertex,Edge,Visits,Greedy,GreedyBacktracking,B&B1,B&B2,B&B3
10000,300,10,0.052603963,2.206853036,0.360302357,0.320794752,0.34533111
10000,400,10,0.021022714,0.992067148,0.278381191,0.253148655,0.281357058
10000,500,10,0.021078936,1.009934084,0.302598794,0.265764923,0.27638848
10000,600,10,0.037599961,2.05217395,0.332780842,0.31328004,0.340640221
10000,700,10,0.024053336,1.606141004,0.314452395,0.291538659,0.313115284
10000,800,10,0.02571947,2.339949142,0.331750264,0.315753818,0.334067598
10000,900,10,0.024468892,1.607149581,0.310339861,0.295323637,0.32487013
10000,1000,10,0.023449069,1.350347949,0.311689684,0.284507458,0.30579515
10000,1100,10,0.023963381,2.222312193,0.331217864,0.311235017,0.338328754
10000,1200,10,0.024845336,2.482798093,0.315590529,0.297065549,0.326710797
10000,1300,10,0.024912803,1.85804788,0.323053419,0.308252306,0.345334533
10000,1400,10,0.024146714,1.766956136,0.33304582,0.309335684,0.332781331
10000,1500,10,0.024583781,1.987627408,0.323601952,0.297202926,0.318767818
10000,1600,10,0.024315381,1.379698397,0.317577863,0.31587164,0.324735196
10000,1700,10,0.02464147,1.657509055,0.307240795,0.294538971,0.317952352
10000,1800,10,0.024420003,2.326992607,0.324515197,0.316067196,0.339757287
10000,1900,10,0.024316359,1.945696869,0.314530618,0.307664662,0.330812086
10000,2000,10,0.024513381,1.982568874,0.321848308,0.292781904,0.338157154
10000,2100,10,0.024301203,2.260933443,0.317615507,0.315521596,0.317614529
10000,2200,10,0.023768314,1.360649817,0.315812485,0.288118881,0.311886706
10000,2300,10,0.024553959,1.920046821,0.325709553,0.301561861,0.385823338
10000,2400,10,0.024310492,1.634208119,0.332748576,0.296595238,0.325557508
10000,2500,10,0.024859514,1.818176542,0.326928352,0.305163016,0.33239022
10000,2600,10,0.026699203,2.158168007,0.334486576,0.310092484,0.325025108
10000,2700,10,0.024763203,1.500072146,0.352288489,0.324918531,0.367555514
10000,2800,10,0.023616758,2.220537038,0.340537065,0.30890155,0.331959508
10000,2900,10,0.02637507,1.453297695,0.340369865,0.30765195,0.336590754
10000,3000,10,0.024208314,1.659244611,0.331846575,0.309265284,0.326929819
10000,3100,10,0.025229603,1.205682775,0.326905375,0.296142526,0.333305909
10000,3200,10,0.025543959,2.305819804,0.33463862,0.312325729,0.330380887
10000,3300,10,0.024794492,1.790213072,0.336113599,0.302109905,0.331896931
10000,3400,10,0.023714047,1.046358266,0.306064528,0.303133149,0.32012693
10000,3500,10,0.026565248,1.813325786,0.342719954,0.334236265,0.356128223
10000,3600,10,0.026015736,1.622449362,0.367887468,0.305251016,0.322679908
10000,3700,10,0.024622403,2.413765996,0.350239555,0.324251197,0.336210888
10000,3800,10,0.025110804,2.377988613,0.33560222,0.308872217,0.328529953
10000,3900,10,0.023564448,1.045715866,0.313520084,0.293202348,0.320009596
10000,4000,10,0.024349603,1.433317782,0.320433952,0.297955816,0.324727375
10000,4100,10,0.023638759,2.1909045,0.324395419,0.306366661,0.327244175
10000,4200,10,0.02523547,2.21045077,0.339093865,0.31293684,0.349319467
10000,4300,10,0.026055337,1.609879049,0.337968932,0.308832128,0.352482579
10000,4400,10,0.024696714,1.046921466,0.338465643,0.301707549,0.336115554
10000,4500,10,0.024815025,2.107492223,0.328409197,0.302656483,0.326186708
10000,4600,10,0.025124492,2.069175063,0.341202932,0.346115289,0.350681023
10000,4700,10,0.023429514,1.231569934,0.328655597,0.321192708,0.349127334
10000,4800,10,0.023486714,1.460904808,0.392785117,0.329077508,0.358761867
10000,4900,10,0.025869559,1.248806203,0.324637908,0.28948777,0.31577044
10000,5000,10,0.026539337,3.731495763,0.34415631,0.331494086,0.362732134
10000,5100,10,0.024492847,1.943072024,0.338968221,0.317722085,0.332265065
10000,5200,10,0.025418315,1.242248736,0.331993731,0.332602887,0.345315955
10000,5300,10,0.024354492,1.482209122,0.362569335,0.33366622,0.348316755
10000,5400,10,0.024192669,0.555136826,0.304417461,0.289260926,0.308885417
10000,5500,10,0.023253514,1.325639502,0.318088262,0.288755903,0.31397524
10000,5600,10,0.024766625,1.842644945,0.320129863,0.30117955,0.325582441
10000,5700,10,0.023575692,1.227878823,0.305172305,0.283730614,0.302795816
10000,5800,10,0.025432981,2.173864276,0.326574397,0.315815907,0.341372576
10000,5900,10,0.023385514,2.159850764,0.344587021,0.287367459,0.321428841
10000,6000,10,0.025414403,1.943952513,0.329165508,0.303063727,0.330126175
10000,6100,10,0.02488787,1.636934652,0.327385463,0.299040171,0.325995552
10000,6200,10,0.024646358,1.578811134,0.346571911,0.305626483,0.317681018
10000,6300,10,0.023202181,1.224218022,0.313460928,0.294510126,0.315289863
10000,6400,10,0.023879291,2.094778666,0.320436396,0.295939149,0.318262307
10000,6500,10,0.02409538,1.527155127,0.315850129,0.296955549,0.31777733
10000,6600,10,0.025179247,1.398929333,0.327185509,0.293386659,0.312819017
10000,6700,10,0.02446547,1.332459014,0.332208843,0.310762262,0.333271686
10000,6800,10,0.025724848,2.400952705,0.330901064,0.305810795,0.336770176
10000,6900,10,0.024849737,1.90457642,0.326217997,0.317779285,0.344201288
10000,7000,10,0.024190715,2.049551061,0.329307287,0.305691994,0.332788176
10000,7100,10,0.025201248,1.838271344,0.322695552,0.292970126,0.320841196
10000,7200,10,0.024788625,1.853246502,0.330155508,0.316165952,0.356434267
10000,7300,10,0.023599648,1.580769134,0.319318307,0.285224659,0.308503106
10000,7400,10,0.023217825,0.876438067,0.295576882,0.275356435,0.30006146
10000,7500,10,0.023518981,2.763987462,0.324461908,0.302784083,0.331820664
10000,7600,10,0.023981959,1.528380772,0.320025241,0.295704482,0.325365374
10000,7700,10,0.024765159,2.025702079,0.326495197,0.302677016,0.326656531
10000,7800,10,0.024218092,1.763232757,0.330667865,0.327195286,0.330283597
10000,7900,10,0.023767825,2.049344261,0.32911222,0.321584307,0.355882312
10000,8000,10,0.024434181,1.806579607,0.326415508,0.300807993,0.323310085
10000,8100,10,0.024250847,1.872765882,0.321899152,0.288287058,0.313066884
10000,8200,10,0.02524427,2.155374985,0.324420842,0.29643146,0.317094841
10000,8300,10,0.024949959,2.275904689,0.332143331,0.30441795,0.33627151
10000,8400,10,0.024961692,1.677323235,0.321599463,0.294632838,0.318349329
10000,8500,10,0.024252314,0.996588393,0.316881685,0.293034171,0.317875107
10000,8600,10,0.024595514,2.076879464,0.330133019,0.308489417,0.328946486
10000,8700,10,0.023588403,2.885372233,0.324452131,0.298343016,0.322443285
10000,8800,10,0.024304137,1.68844057,0.310097861,0.292508614,0.313177862
10000,8900,10,0.02524427,1.96168305,0.322734175,0.328880486,0.318808885
10000,9000,10,0.024110536,2.327308428,0.319527552,0.287332748,0.310909417
10000,9100,10,0.025081959,2.109724001,0.332534931,0.323777463,0.332684531
10000,9200,10,0.02497147,2.236724151,0.334445998,0.314380529,0.33700631
10000,9300,10,0.027053159,2.031178125,0.317330974,0.292629371,0.319182396
10000,9400,10,0.02329067,0.874485444,0.307729684,0.288564259,0.313264395
10000,9500,10,0.02382747,2.184610544,0.328919597,0.313651596,0.339007332
10000,9600,10,0.024331025,2.036520704,0.312639595,0.286333948,0.311547417
10000,9700,10,0.023665647,1.521244949,0.328158397,0.301561371,0.318517018
10000,9800,10,0.024037203,1.927878823,0.333353331,0.317157907,0.339401376
10000,9900,10,0.023153292,2.252892686,0.320739019,0.293130481,0.340841643
10000,10000,10,0.02451338,1.190828862,0.313557729,0.290969592,0.318202173
10000,10100,10,0.02553467,1.918408066,0.353410001,0.321453285,0.327201642
10000,10200,10,0.02523107,1.998768209,0.339316798,0.308183861,0.333227198
