Vertex,Edge,Visits,Greedy,GreedyBacktracking,B&B1,B&B2,B&B3
100,300,1,0.002235689,0.002627289,6.70267E-4,4.4489E-5,3.4222E-5
100,300,2,7.11333E-4,0.002403867,4.81066E-4,3.26577E-4,2.77689E-4
100,300,3,4.73245E-4,0.001436355,0.003453512,0.002841912,0.002932356
100,300,4,6.05734E-4,0.001893467,0.002494801,0.002135956,0.002849245
100,300,5,4.60534E-4,0.001234934,0.002202934,0.005742001,0.003375778
100,300,6,5.22134E-4,0.002146712,0.003148933,0.002637067,0.003150889
100,300,7,4.004E-4,0.002579867,0.0041976,0.007995779,0.006714401
100,300,8,6.81511E-4,0.005076134,0.007274178,0.005145556,0.005979601
100,300,9,7.39689E-4,0.017076402,0.016067335,0.003937022,0.004200045
100,300,10,3.33911E-4,0.052181562,0.077757299,0.013212713,0.013162846
100,300,11,3.41244E-4,0.616604834,0.546677092,0.102777169,0.097187701
